frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
601,204,181.07294574714626 366.2919666563 938.8537329833947 937.9291615985267,415.78509521484375 585.4664306640625 615.3226318359375 666.9446411132812,0.6784838438034058,9L48NA,0.41539990682419575
602,204,202.37357113751523 369.12415515652265 947.2737622474588 933.4424602418078,419.30804443359375 583.8316650390625 634.3624877929688 671.423095703125,0.537969172000885,PL48NA,0.41596799627243375
603,204,224.35734985056666 371.4031421093903 956.7555664242809 928.6081865287922,450.49310302734375 585.969482421875 644.3294677734375 659.388916015625,0.654209315776825,PL43NA,0.27658328696615936
604,204,244.78141023009198 373.2578265066478 965.0673116229373 923.7246716999174,464.1654968261719 585.15625 660.4117431640625 661.3927612304688,0.3286510407924652,PL23NA,0.3927208041911017
605,204,265.89090341410207 374.0469226697809 974.6556067439008 916.7220444318533,482.56640625 583.447509765625 669.3204345703125 653.682373046875,0.39503660798072815,94Z3NA,0.3222491223377731
606,204,284.3268538754749 375.3923935592333 980.9511132828143 911.0901827226498,499.76129150390625 582.257568359375 681.7996215820312 654.8251953125,0.4732896685600281,94L3NA,0.22744323156505392
607,204,303.4267384553257 376.12355161053335 987.3225611508533 904.6299424187072,509.89617919921875 578.2432250976562 696.2860107421875 656.1236572265625,0.26376280188560486,9LL3NA,0.34991015181429164
608,204,323.4172580700136 377.46244138726934 995.6054399237908 897.6974954957757,523.0325317382812 575.4180908203125 710.4790649414062 652.112548828125,0.35421663522720337,9LL3NA,0.5
609,204,341.174022563608 379.4443236896798 1004.439047642622 891.6794942875065,541.7231750488281 574.8688049316406 722.3556823730469 651.9770202636719,0,0,0
610,204,358.93078705720234 381.4262059920902 1013.2726553614531 885.6614930792373,560.413818359375 574.3195190429688 734.2322998046875 651.8414916992188,0.6064843535423279,9LL3NA,0.5
611,204,376.4111133115641 383.9212837687122 1023.4305640992677 882.4093671364639,577.7109375 573.843505859375 748.7952880859375 644.678955078125,0.5084105730056763,9LL3NA,0.5
612,204,392.39425974745023 384.81132084405544 1035.2192007063604 875.8260112025207,589.4576416015625 574.5508422851562 760.7437744140625 647.2855834960938,0.5745800733566284,9L43NA,0.5
613,204,411.3001566099978 386.5603493536138 1052.0845307982504 870.6850369448451,601.4514770507812 569.3204345703125 772.81201171875 643.1668090820312,0.6367645859718323,9LL3NA,0.5
614,204,424.6269996154605 388.0093072339872 1059.6387204834828 866.3187948972708,604.3112182617188 566.5852661132812 777.9420776367188 638.080078125,0.5975250005722046,94L3NA,0.3493091373988984
615,204,441.3864936747399 389.8712978432599 1068.3439076034565 862.4202285504914,619.8546142578125 565.7757568359375 789.5154418945312 637.216552734375,0.6749330163002014,9LL3NA,0.4622440976342374
